District,Population,Population density,District square,address for Nominatim,location,point
  Строгино , 160791 , 9548.16 , 16. 84 ,"  Строгино ,  СЗАО ","Строгино, Строгинский бульвар, Троице-Лыково, район Строгино, Северо-Западный административный округ, Москва, Центральный федеральный округ, 123592, Россия","(55.8036918, 37.4031404, 0.0)"
 Таганский , 123398 , 15405.49 , 8. 01 ," Таганский ,  ЦАО ","Таганский район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7415723, 37.6670626, 0.0)"
  Тверской , 77864 , 10710.32 , 7. 27 ,"  Тверской ,  ЦАО ","Тверской район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.7691461, 37.6088355, 0.0)"
 Текстильщики , 105267 , 17781.59 , 5. 92 ," Текстильщики ,  ЮВАО ","район Текстильщики, Юго-Восточный административный округ, Москва, Центральный федеральный округ, Россия","(55.7031811, 37.7405918, 0.0)"
 Тёплый Стан , 134321 , 17909.47 , 7. 50 ," Тёплый Стан ,  ЮЗАО ","Тёплый Стан, Новоясеневский проспект, район Ясенево, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117574, Россия","(55.6188149, 37.5082645, 0.0)"
  Тимирязевский , 83712 , 8026.08 , 10. 43 ,"  Тимирязевский ,  САО ","Тимирязевский район, Северный административный округ, Москва, Центральный федеральный округ, Россия","(55.8258166, 37.5577439, 0.0)"
 Тропарёво-Никулино , 124167 , 11017.48 , 11. 27 ," Тропарёво-Никулино ,  ЗАО ","Тропарёво, Ленинский проспект, Тропарёво, район Тропарёво-Никулино, Западный административный округ, Москва, Центральный федеральный округ, 117513, Россия","(55.6458937, 37.4726181, 0.0)"
 Филёвский Парк , 94323 , 9804.89 , 9. 62 ," Филёвский Парк ,  ЗАО ","Филёвский парк, Минская улица, Давыдково, район Фили-Давыдково, Западный административный округ, Москва, Центральный федеральный округ, 121096, Россия","(55.7394565, 37.4834225, 0.0)"
 Фили-Давыдково , 115128 , 16541.38 , 6. 96 ," Фили-Давыдково ,  ЗАО ","район Фили-Давыдково, Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.7288995, 37.4673379, 0.0)"
 Хамовники , 109218 , 10835.12 , 10. 08 ," Хамовники ,  ЦАО ","район Хамовники, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.729229, 37.5729484, 0.0)"
 Ховрино , 89018 , 15535.43 , 5. 73 ," Ховрино ,  САО ","Ховрино, улица Дыбенко, район Ховрино, Северный административный округ, Москва, Центральный федеральный округ, 125475, Россия","(55.8781328, 37.4807583, 0.0)"
  Хорошёво-Мнёвники , 173615 , 10105.65 , 17. 18 ,"  Хорошёво-Мнёвники ,  СЗАО ","район Хорошёво-Мнёвники, Северо-Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.7787568, 37.4800743, 0.0)"
 Хорошёвский , 72676 , 7355.87 , 9. 88 ," Хорошёвский ,  САО ","Хорошёвский район, Северный административный округ, Москва, Центральный федеральный округ, Россия","(55.7789309, 37.5271723, 0.0)"
 Царицыно , 129138 , 15318.86 , 8. 43 ," Царицыно ,  ЮАО ","Царицыно, Луганская улица, район Царицыно, Южный административный округ, Москва, Центральный федеральный округ, 115541, Россия","(55.6214833, 37.6692504, 0.0)"
 Черёмушки , 110753 , 20063.95 , 5. 52 ," Черёмушки ,  ЮЗАО ","Черёмушки, Москва, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117246, Россия","(55.6635403, 37.5610662, 0.0)"
  Чертаново Северное , 114548 , 21212.59 , 5. 40 ,"  Чертаново Северное ,  ЮАО ","Чертаново Северное, Москва, Южный административный округ, Москва, Центральный федеральный округ, 117208, Россия","(55.6330775, 37.6052365, 0.0)"
 Чертаново Центральное , 117092 , 17958.9 , 6. 52 ," Чертаново Центральное ,  ЮАО ","район Чертаново Центральное, Южный административный округ, Москва, Центральный федеральный округ, Россия","(55.6151581, 37.6032734, 0.0)"
 Чертаново Южное , 151726 , 16175.48 , 9. 38 ," Чертаново Южное ,  ЮАО ","район Чертаново Южное, Южный административный округ, Москва, Центральный федеральный округ, Россия","(55.5898352, 37.5957481, 0.0)"
 Щукино , 111203 , 14460.73 , 7. 69 ," Щукино ,  СЗАО ","район Щукино, Северо-Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.8005723, 37.4730552, 0.0)"
  Южное Бутово , 210676 , 8248.86 , 25. 54 ,"  Южное Бутово ,  ЮЗАО ","район Южное Бутово, Юго-Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.5412721, 37.5325392, 0.0)"
 Южное Медведково , 85698 , 22087.11 , 3. 88 ," Южное Медведково ,  СВАО ","район Южное Медведково, Северо-Восточный административный округ, Москва, Центральный федеральный округ, Россия","(55.8748262, 37.6338939, 0.0)"
 Южное Тушино , 109218 , 13755.42 , 7. 94 ," Южное Тушино ,  СЗАО ","район Южное Тушино, Северо-Западный административный округ, Москва, Центральный федеральный округ, Россия","(55.8438581, 37.4315406, 0.0)"
  Южнопортовый , 74729 , 16496.47 , 4. 53 ,"  Южнопортовый ,  ЮВАО ","Южнопортовый, Москва, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 115088, Россия","(55.7196035, 37.6736187, 0.0)"
